ID;Proveedor;Contacto_comercial;Email;Teléfono;Saldo pendiente en dólares;Fecha de última compra;
P0001;So Factive;Lorenzo Cantón Galan;fluffy@verizon.net;(394) 406-8708;63;4/09/2018;
P0002;Kontroller;Adelina Valls Canet;fraterk@me.com;(923) 207-3871;4250;8/06/2012;
P0003;Finance Api;Eulalia del Galindo;animats@mac.com;(904) 363-2261;-2412;6/08/2017;
P0004;Biomotivate;Tania Catalán Galván;tbeck@icloud.com;(923) 671-4117;3348;22/05/2017;
P0005;Deltavita;Abraham Girón-Soler;mallanmba@yahoo.ca;(841) 798-8943;570;17/01/2022;
P0006;Metta Statu_cru_lumarn;Erasmo Gibert Quevedo;kosact@sbcglobal.net;(559) 515-6369;261;2/09/2014;
P0007;Town Of Abus Road;Ana Belén Mayo Correa;bastian@aol.com;(715) 328-4811;4733;26/02/2021;
P0008;Player;Valentina Enríquez Montalbán;lukka@mac.com;(953) 242-4312;18254;6/01/2019;
P0009;Team Esports;Pastor Querol Verdugo;sjava@yahoo.com;(429) 355-6554;2128;28/04/2018;
P0010;Team Impact;Andrés Saavedra Castelló;shawnce@me.com;(399) 380-2112;310;11/08/2012;
P0011;Alliancestudios;Juliana Márquez Huguet;moinefou@hotmail.com;(242) 702-4300;3536;2/11/2020;
P0012;Modgugh;África Fernandez Calatayud;bebing@att.net;(479) 987-5028;71,14;14/10/2018;
P0013;Team Software;Carlito Domínguez Cortes;afifi@yahoo.com;(669) 494-0889;5258;8/05/2017;
P0014;Bayesa;Heliodoro Baños Sainz;zavadsky@gmail.com;(495) 936-2371;8121;13/03/2015;
P0015;Pubsearch;Arturo Ferrán Terrón;neonatus@yahoo.ca;(901) 585-8039;211;1/02/2022;
P0016;Teknosystems;Serafina Marcela Solano Alfaro;nichoj@yahoo.com;(243) 646-8371;3391;9/06/2017;
P0017;Companyreo;María Pilar Jódar Gómez;kwilliams@icloud.com;(577) 722-8909;5752;10/01/2021;
P0018;Upstream;Verónica Carmina Riba Criado;presoff@aol.com;(965) 536-3236;4332;1/04/2014;
P0019;Zenitcom Solutions;Bernardita Royo León;samavati@yahoo.com;(970) 954-6303;7601;5/08/2012;
P0020;Vuevitas;Carlito Peñas Prado;philen@verizon.net;(988) 713-8842;607;17/10/2021;
P0021;2gm Fuji;Inmaculada Aurora Cantero Peralta;sacraver@aol,com;(618) 384-8498;8231;22/07/2012;
P0022;Wembo Mobile;Sebastian Carnero Uriarte;seano@hotmail.com;(727) 291-1259;2203;13/11/2016;
P0023;Ijmall;Eusebia Peñalver Abellán;fudrucker@aol.com;(620) 870-4407;1635;20/10/2018;
P0024;Goautomatch;Fermín Amor Piña;burns@aol.com;(588) 599-4372;5861;11/12/2016;
P0025;Myvichco;Joaquín Duarte Lerma;jdhedden@live.com;(225) 424-7303;2021;25/12/2011;
P0026;Every Good Good After Logo;Vilma de Rosado;maratb@att.net;(386) 943-6501;351;3/08/2013;
P0027;Grupo Labora;Gaspar Alsina Orozco;darin@hotmail.com;(253) 267-0135;7806;23/05/2012;
P0028;The Other Side;Maricruz Tejedor Pons;alastair@verizon.net;(818) 803-6439;1089;26/10/2021;
P0029;Myrgy;Maximino del Prada;dunstan@verizon.net;(458) 694-0732;8065;17/03/2016;
P0030;Madrid;Ruth Guardia Sevillano;bhtower@msn.com;(594) 738-2085;747;16/07/2012;
P0031;Robotank Home;Fermín Gimeno Aguirre;yenya@aol.com;(621) 889-1552;352;5/11/2017;
P0032;Phoenix Payroll;Selena Nebot Montes;guialbu@me.com;(789) 438-6462;2036;9/12/2017;
P0033;Generite Labs;Daniel Soriano-Mesa;adamk@live.com;(876) 988-8149;3546;26/05/2018;
P0034;Optimization Logic;Leoncio Yáñez Grau;temmink@gmail.com;(474) 585-5295;7444;29/08/2013;
P0035;Caron Management;Macaria de Santamaría;mavilar@msn.com;(969) 346-7723;8474;27/09/2019;
P0036;Aerovans;Tere Alberto Urrutia;ajohnson@yahoo.ca;(221) 271-5402;849;28/02/2022;
P0037;Iacm;Adriana Salvà;jkegl@icloud.com;(424) 740-7029;2929;29/01/2015;
P0038;Catr;Adán Bernad;hakim@yahoo.com;(604) 786-5700;1062;9/05/2017;
P0039;2cv Factory;Roberta Villegas Ibañez;mlewan@mac.com;(979) 293-4899;2836;3/02/2019;
P0040;New Culture;Odalys García Roma;dhwon@verizon.net;(937) 737-8674;5403;17/11/2016;
P0041;Windy Forest;Mar Millán Pons;themer@me.com;(942) 814-8944;4510;4/02/2012;
P0042;The Rotary Club;Poncio Osorio Pujol;jaffe@hotmail.com;(559) 957-3199;5287;3/12/2013;
P0043;Online Transport;Susanita Gargallo Domingo;bachmann@comcast.net;(436) 749-5800;3707;2/11/2015;
P0044;Good City Mobility;Heriberto Velasco;frode@mac.com;(845) 334-6783;1640;13/03/2012;
P0045;Bt North;Diego Almansa Morata;hyper@optonline.net;(689) 268-4318;5497;11/04/2019;
